Region,Ort
Nordrhein-Westfalen,Aachen
Baden-Wuerttemberg,Aalen
Baden-Wuerttemberg,Sigmaringen
Nordrhein-Westfalen,Alfter
Bayern,Amberg
Sachsen-Anhalt,Koethen
Bayern,Ansbach
Bayern,Aschaffenburg
Bayern,Augsburg
Baden-Wuerttemberg,Backnang
Baden-Wuerttemberg,Villingen-Schwenningen
Baden-Wuerttemberg,Schwetzingen
Baden-Wuerttemberg,Ludwigsburg
Baden-Wuerttemberg,Kehl
Hessen,Bad Homburg
Baden-Wuerttemberg,Bad Liebenzell
Bayern,Bamberg
Bayern,Muenchen
Bayern,Bayreuth
Berlin,Berlin
Baden-Wuerttemberg,Biberach
Nordrhein-Westfalen,Bielefeld
Rheinland-Pfalz,Bingen
Nordrhein-Westfalen,Bochum
Nordrhein-Westfalen,Bonn
Nordrhein-Westfalen,Sankt Augustin
Brandenburg,Koenigs Wusterhausen
Brandenburg,Oranienburg
Brandenburg,Brandenburg
Niedersachsen,Braunschweig
Bremen,Bremen
Bremen,Bremerhaven
Nordrhein-Westfalen,Bruehl
Niedersachsen,Buxtehude
Sachsen,Chemnitz
Niedersachsen,Clausthal-Zellerfeld
Bayern,Coburg
Brandenburg,Cottbus
Hessen,Darmstadt
Bayern,Deggendorf
Nordrhein-Westfalen,Detmold
Nordrhein-Westfalen,Dortmund
Sachsen,Dresden
Nordrhein-Westfalen,Essen
Nordrhein-Westfalen,Duesseldorf
Brandenburg,Eberswalde
Bayern,Eichstaett
Schleswig-Holstein,Elmshorn
Brandenburg,Wustermark
Niedersachsen,Emden
Thueringen,Erfurt
Bayern,Erlangen
Baden-Wuerttemberg,Esslingen
Hessen,Dietzhoelztal
Schleswig-Holstein,Flensburg
Hessen,Frankfurt am Main
Brandenburg,Frankfurt (Oder)
Sachsen,Freiberg
Baden-Wuerttemberg,Freiburg
Sachsen-Anhalt,Friedensau
Baden-Wuerttemberg,Friedrichshafen
Hessen,Fulda
Bayern,Fuerth
Baden-Wuerttemberg,Furtwangen
Hessen,Geisenheim
Thueringen,Gera
Hessen,GieÃen
Niedersachsen,Goettingen
Mecklenburg-Vorpommern,Greifswald
Rheinland-Pfalz,Hachenburg
Nordrhein-Westfalen,Hagen
Sachsen-Anhalt,Halle
Hamburg,Hamburg
Nordrhein-Westfalen,Hamm
Niedersachsen,Hannover
Sachsen-Anhalt,Wernigerode
Baden-Wuerttemberg,Heidelberg
Baden-Wuerttemberg,Heilbronn
Nordrhein-Westfalen,Herford
Niedersachsen,Hermannsburg
Hessen,Rotenburg
Hessen,Wiesbaden
Niedersachsen,Hildesheim
Bayern,Hof
Baden-Wuerttemberg,Stuttgart
Hessen,Idstein
Thueringen,Ilmenau
Bayern,Ingolstadt
Bayern,Ismaning
Thueringen,Jena
Rheinland-Pfalz,Kaiserslautern
Baden-Wuerttemberg,Karlsruhe
Hessen,Kassel
Bayern,Kempten
Schleswig-Holstein,Kiel
Rheinland-Pfalz,Koblenz
Nordrhein-Westfalen,Koeln
Baden-Wuerttemberg,Konstanz
Bayern,Landshut
Sachsen,Leipzig
Schleswig-Holstein,Luebeck
Rheinland-Pfalz,Ludwigshafen
Niedersachsen,Lueneburg
Sachsen-Anhalt,Magdeburg
Rheinland-Pfalz,Mainz
Baden-Wuerttemberg,Mannheim
Hessen,Marburg
Mecklenburg-Vorpommern,Guestrow
Sachsen-Anhalt,Merseburg
Sachsen,Mittweida
Bayern,Neubiberg
Nordrhein-Westfalen,Muenster
Mecklenburg-Vorpommern,Neubrandenburg
Bayern,Neuendettelsau
Brandenburg,Neuruppin
Bayern,Neu-Ulm
Nordrhein-Westfalen,Krefeld
Niedersachsen,Nienburg
Niedersachsen,Bad Eilsen
Thueringen,Nordhausen
Hessen,Bad Sooden-Allendorf
Nordrhein-Westfalen,Bad Muenstereifel
Nordrhein-Westfalen,Nordkirchen
Nordrhein-Westfalen,Gelsenkirchen
Bayern,Nuernberg
Baden-Wuerttemberg,Nuertingen
Hessen,Oberursel
Hessen,Offenbach
Baden-Wuerttemberg,Offenburg
Niedersachsen,Oldenburg
Niedersachsen,Osnabrueck
Niedersachsen,Wolfenbuettel
Nordrhein-Westfalen,Lemgo
Niedersachsen,Ottersberg
Nordrhein-Westfalen,Paderborn
Bayern,Passau
Baden-Wuerttemberg,Pforzheim
Brandenburg,Potsdam
Baden-Wuerttemberg,Weingarten
Bayern,Regensburg
Baden-Wuerttemberg,Reutlingen
Rheinland-Pfalz,Edenkoben
Rheinland-Pfalz,Buechenbeuren
Rheinland-Pfalz,Mayen
Nordrhein-Westfalen,Kleve
Baden-Wuerttemberg,Riedlingen
Bayern,Rosenheim
Mecklenburg-Vorpommern,Rostock
Baden-Wuerttemberg,Rottenburg
Nordrhein-Westfalen,Muelheim
Saarland,Saarbruecken
Saarland,Quierschied
Sachsen-Anhalt,Aschersleben
Sachsen,Rothenburg
Sachsen,MeiÃen
Schleswig-Holstein,Altenholz
Thueringen,Schmalkalden
Baden-Wuerttemberg,Schwaebisch Gmuend
Nordrhein-Westfalen,Siegen
Rheinland-Pfalz,Speyer
Mecklenburg-Vorpommern,Stralsund
Nordrhein-Westfalen,Iserlohn
Thueringen,Gotha
Rheinland-Pfalz,Trier
Baden-Wuerttemberg,Trossingen
Baden-Wuerttemberg,Tuebingen
Baden-Wuerttemberg,Ulm
Rheinland-Pfalz,Vallendar
Niedersachsen,Vechta
Schleswig-Holstein,Wedel
Bayern,Freising
Thueringen,Weimar
Niedersachsen,Hameln
Schleswig-Holstein,Heide
Brandenburg,Wildau
Niedersachsen,Wilhelmshaven
Mecklenburg-Vorpommern,Wismar
Nordrhein-Westfalen,Witten
Rheinland-Pfalz,Worms
Nordrhein-Westfalen,Wuppertal
Bayern,Wuerzburg
Sachsen,Zittau
Sachsen,Zwickau
